QueryIDs	chembl_id	molregno	PubChem_ID	DrugBank_ID	Drug_Name	MOA	Action_Type	First_Approval	ChEMBL_TID	TID	UniProt_ID	Desc	Organism	Mesh_Indication	hgnc_symbol	module	WTCS
P17948	NA	NA	NA	NA	AXITINIB	Vascular endothelial growth factor receptor inhibitor	INHIBITOR	2012	CHEMBL2095227	104799	P17948	Vascular endothelial growth factor receptor 1	Homo sapiens	D000306: Adrenal Cortex Neoplasms,D001661: Biliary Tract Neoplasms,D001752: Blast Crisis,D001943: Breast Neoplasms,D002276: Carcinoid Tumor,D002277: Carcinoma,D002289: Carcinoma, Non-Small-Cell Lung,D002292: Carcinoma, Renal Cell,D002294: Carcinoma, Squamous Cell,D003528: Carcinoma, Adenoid Cystic,D004715: Endometriosis,D005909: Glioblastoma,D006528: Carcinoma, Hepatocellular,D007680: Kidney Neoplasms,D008545: Melanoma,D008654: Mesothelioma,D009190: Myelodysplastic Syndromes,D009303: Nasopharyngeal Neoplasms,D009369: Neoplasms,D010190: Pancreatic Neoplasms,D011471: Prostatic Neoplasms,D012468: Salivary Gland Neoplasms,D012509: Sarcoma,D013274: Stomach Neoplasms,D013964: Thyroid Neoplasms,D015179: Colorectal Neoplasms,D015470: Leukemia, Myeloid, Acute,D016889: Endometrial Neoplasms,D018234: Sarcoma, Alveolar Soft Part,D018316: Gliosarcoma,D021441: Carcinoma, Pancreatic Ductal,D046152: Gastrointestinal Stromal Tumors,D054364: Solitary Fibrous Tumors,D064129: Prostatic Neoplasms, Castration-Resistant	FLT1	M1	-0.317525918303734
P23219	NA	NA	NA	NA	OXAPROZIN	Cyclooxygenase inhibitor	INHIBITOR	1992	CHEMBL2094253	104725	P23219	Prostaglandin G/H synthase 1	Homo sapiens	D012216: Rheumatic Diseases	PTGS1	M1	-0.323263165280588
P62942	NA	NA	NA	NA	SIROLIMUS	FK506-binding protein 1A inhibitor	INHIBITOR	1999	CHEMBL1902	80	P62942	Peptidyl-prolyl cis-trans isomerase FKBP1A	Homo sapiens	D000077192: Adenocarcinoma of Lung,D000375: Aging,D000437: Alcoholism,D000690: Amyotrophic Lateral Sclerosis,D000740: Anemia,D000741: Anemia, Aplastic,D000755: Anemia, Sickle Cell,D001749: Urinary Bladder Neoplasms,D001943: Breast Neoplasms,D001991: Bronchitis,D002289: Carcinoma, Non-Small-Cell Lung,D002292: Carcinoma, Renal Cell,D002294: Carcinoma, Squamous Cell,D002532: Intracranial Aneurysm,D002538: Intracranial Arteriovenous Malformations,D003866: Depressive Disorder,D003922: Diabetes Mellitus, Type 1,D003928: Diabetic Nephropathies,D003930: Diabetic Retinopathy,D005128: Eye Diseases,D005185: Fallopian Tube Neoplasms,D005199: Fanconi Anemia,D005350: Fibroma,D005355: Fibrosis,D005733: Gangliosidoses,D005776: Gaucher Disease,D005871: Castleman Disease,D005909: Glioblastoma,D005922: Glomerulonephritis, IGA,D005923: Glomerulosclerosis, Focal Segmental,D006009: Glycogen Storage Disease Type II,D006086: Graft vs Host Disease,D006105: Granulomatous Disease, Chronic,D006402: Hematologic Diseases,D006528: Carcinoma, Hepatocellular,D006689: Hodgkin Disease,D006937: Hypercholesterolemia,D006946: Hyperinsulinism,D006973: Hypertension,D006976: Hypertension, Pulmonary,D007154: Immune System Diseases,D007674: Kidney Diseases,D007690: Polycystic Kidney Diseases,D007938: Leukemia,D007952: Leukemia, Plasma Cell,D008113: Liver Neoplasms,D008175: Lung Neoplasms,D008180: Lupus Erythematosus, Systemic,D008223: Lymphoma,D008228: Lymphoma, Non-Hodgkin,D008268: Macular Degeneration,D009101: Multiple Myeloma,D009190: Myelodysplastic Syndromes,D009362: Neoplasm Metastasis,D009369: Neoplasms,D009373: Neoplasms, Germ Cell and Embryonal,D009442: Neurilemmoma,D009447: Neuroblastoma,D009456: Neurofibromatosis 1,D010051: Ovarian Neoplasms,D010190: Pancreatic Neoplasms,D010300: Parkinson Disease,D010392: Pemphigus,D010871: Pinealoma,D011125: Adenomatous Polyposis Coli,D011471: Prostatic Neoplasms,D012004: Rectal Neoplasms,D012128: Respiratory Distress Syndrome,D012509: Sarcoma,D012516: Osteosarcoma,D012595: Scleroderma, Systemic,D012878: Skin Neoplasms,D013341: Sturge-Weber Syndrome,D013964: Thyroid Neoplasms,D014606: Uveitis, Anterior,D015352: Dry Eye Syndromes,D015423: Scleritis,D015451: Leukemia, Lymphocytic, Chronic, B-Cell,D015464: Leukemia, Myelogenous, Chronic, BCR-ABL Positive,D015470: Leukemia, Myeloid, Acute,D015658: HIV Infections,D015866: Uveitis, Posterior,D015867: Uveitis, Intermediate,D016403: Lymphoma, Large B-Cell, Diffuse,D016410: Lymphoma, T-Cell, Cutaneous,D016511: Severe Combined Immunodeficiency,D016543: Central Nervous System Neoplasms,D016891: Polycystic Kidney, Autosomal Dominant,D017086: beta-Thalassemia,D017676: Lichen Planus, Oral,D018192: Lymphangioleiomyomatosis,D018222: Fibromatosis, Aggressive,D018316: Gliosarcoma,D018376: Cardiovascular Abnormalities,D018979: Myositis, Inclusion Body,D019337: Hematologic Neoplasms,D019339: Port-Wine Stain,D020522: Lymphoma, Mantle-Cell,D020529: Multiple Sclerosis, Relapsing-Remitting,D045169: Severe Acute Respiratory Syndrome,D049970: Graves Ophthalmopathy,D051436: Renal Insufficiency, Chronic,D051437: Renal Insufficiency,D053549: Pachyonychia Congenita,D054079: Vascular Malformations,D054198: Precursor Cell Lymphoblastic Leukemia-Lymphoma,D055371: Acute Lung Injury,D055752: Small Cell Lung Carcinoma,D055948: Sarcopenia,D057135: Wet Macular Degeneration,D057180: Frontotemporal Dementia,D058249: Birt-Hogg-Dube Syndrome,D064129: Prostatic Neoplasms, Castration-Resistant	FKBP1A	M1	-0.333152932480985
Q05940	NA	NA	NA	NA	TETRABENAZINE	Synaptic vesicular amine transporter inhibitor	INHIBITOR	2008	CHEMBL1893	162	Q05940	Synaptic vesicular amine transporter	Homo sapiens	D005879: Tourette Syndrome,D006816: Huntington Disease,D009069: Movement Disorders	SLC18A2	M1	-0.319439448992543
P10275	NA	NA	NA	NA	DANAZOL	Androgen Receptor agonist	AGONIST	1976	CHEMBL1871	56	P10275	Androgen receptor	Homo sapiens	D000741: Anemia, Aplastic,D004715: Endometriosis,D005199: Fanconi Anemia,D005348: Fibrocystic Breast Disease,D007246: Infertility,D009190: Myelodysplastic Syndromes,D011697: Purpura, Thrombotic Thrombocytopenic,D016553: Purpura, Thrombocytopenic, Idiopathic,D016889: Endometrial Neoplasms,D019871: Dyskeratosis Congenita,D059373: Mastodynia	AR	M1	-0.306026770799964
P06401	NA	NA	NA	NA	LEVONORGESTREL	Progesterone receptor agonist	AGONIST	1982	CHEMBL208	36	P06401	Progesterone receptor	Homo sapiens	D000856: Anorexia Nervosa,D001851: Bone Diseases, Metabolic,D003924: Diabetes Mellitus, Type 2,D004412: Dysmenorrhea,D004714: Endometrial Hyperplasia,D004715: Endometriosis,D006470: Hemorrhage,D008595: Menorrhagia,D008881: Migraine Disorders,D009369: Neoplasms,D010051: Ovarian Neoplasms,D010146: Pain,D015451: Leukemia, Lymphocytic, Chronic, B-Cell,D015658: HIV Infections,D019694: Hepatitis B, Chronic,D019698: Hepatitis C, Chronic,D062788: Adenomyosis	PGR	M1	-0.341782125931555
P06401	NA	NA	NA	NA	LEVONORGESTREL	Progesterone receptor agonist	AGONIST	1982	CHEMBL208	36	P06401	Progesterone receptor	Homo sapiens	D000856: Anorexia Nervosa,D001851: Bone Diseases, Metabolic,D003924: Diabetes Mellitus, Type 2,D004412: Dysmenorrhea,D004714: Endometrial Hyperplasia,D004715: Endometriosis,D006470: Hemorrhage,D008595: Menorrhagia,D008881: Migraine Disorders,D009369: Neoplasms,D010051: Ovarian Neoplasms,D010146: Pain,D015451: Leukemia, Lymphocytic, Chronic, B-Cell,D015658: HIV Infections,D019694: Hepatitis B, Chronic,D019698: Hepatitis C, Chronic,D062788: Adenomyosis	PGR	M1	-0.304561634078942
P06401	NA	NA	NA	NA	DANAZOL	Progesterone receptor agonist	AGONIST	1976	CHEMBL208	36	P06401	Progesterone receptor	Homo sapiens	D000741: Anemia, Aplastic,D004715: Endometriosis,D005199: Fanconi Anemia,D005348: Fibrocystic Breast Disease,D007246: Infertility,D009190: Myelodysplastic Syndromes,D011697: Purpura, Thrombotic Thrombocytopenic,D016553: Purpura, Thrombocytopenic, Idiopathic,D016889: Endometrial Neoplasms,D019871: Dyskeratosis Congenita,D059373: Mastodynia	PGR	M1	-0.306026770799964
P14416	NA	NA	NA	NA	CHLORPROMAZINE	D2-like dopamine receptor antagonist	ANTAGONIST	1957	CHEMBL2331075	105671	P14416	D(2) dopamine receptor	Homo sapiens	D003693: Delirium,D005909: Glioblastoma,D009357: Neonatal Abstinence Syndrome,D011618: Psychotic Disorders,D012559: Schizophrenia,D045169: Severe Acute Respiratory Syndrome	DRD2	M1	-0.331620513668982
P35916	NA	NA	NA	NA	AXITINIB	Vascular endothelial growth factor receptor inhibitor	INHIBITOR	2012	CHEMBL2095227	104799	P35916	Vascular endothelial growth factor receptor 3	Homo sapiens	D000306: Adrenal Cortex Neoplasms,D001661: Biliary Tract Neoplasms,D001752: Blast Crisis,D001943: Breast Neoplasms,D002276: Carcinoid Tumor,D002277: Carcinoma,D002289: Carcinoma, Non-Small-Cell Lung,D002292: Carcinoma, Renal Cell,D002294: Carcinoma, Squamous Cell,D003528: Carcinoma, Adenoid Cystic,D004715: Endometriosis,D005909: Glioblastoma,D006528: Carcinoma, Hepatocellular,D007680: Kidney Neoplasms,D008545: Melanoma,D008654: Mesothelioma,D009190: Myelodysplastic Syndromes,D009303: Nasopharyngeal Neoplasms,D009369: Neoplasms,D010190: Pancreatic Neoplasms,D011471: Prostatic Neoplasms,D012468: Salivary Gland Neoplasms,D012509: Sarcoma,D013274: Stomach Neoplasms,D013964: Thyroid Neoplasms,D015179: Colorectal Neoplasms,D015470: Leukemia, Myeloid, Acute,D016889: Endometrial Neoplasms,D018234: Sarcoma, Alveolar Soft Part,D018316: Gliosarcoma,D021441: Carcinoma, Pancreatic Ductal,D046152: Gastrointestinal Stromal Tumors,D054364: Solitary Fibrous Tumors,D064129: Prostatic Neoplasms, Castration-Resistant	FLT4	M1	-0.317525918303734
