QueryIDs	chembl_id	molregno	PubChem_ID	DrugBank_ID	Drug_Name	MOA	Action_Type	First_Approval	ChEMBL_TID	TID	UniProt_ID	Desc	Organism	Mesh_Indication	hgnc_symbol	module
P38484	NA	NA	NA	NA	INTERFERON GAMMA-1B	Interferon gamma receptor agonist	AGONIST	1999	CHEMBL2364171	106150	P38484	Interferon gamma receptor 2	Homo sapiens	D001943: Breast Neoplasms,D001989: Bronchiolitis Obliterans,D003550: Cystic Fibrosis,D005185: Fallopian Tube Neoplasms,D005621: Friedreich Ataxia,D006105: Granulomatous Disease, Chronic,D007938: Leukemia,D008103: Liver Cirrhosis,D008223: Lymphoma,D008228: Lymphoma, Non-Hodgkin,D008545: Melanoma,D008654: Mesothelioma,D009101: Multiple Myeloma,D009164: Mycobacterium Infections,D009182: Mycosis Fungoides,D009369: Neoplasms,D009447: Neuroblastoma,D010022: Osteopetrosis,D010051: Ovarian Neoplasms,D010534: Peritoneal Neoplasms,D011565: Psoriasis,D011658: Pulmonary Fibrosis,D012162: Retinal Degeneration,D012208: Rhabdomyosarcoma,D012512: Sarcoma, Ewing,D012516: Osteosarcoma,D014605: Uveitis,D014606: Uveitis, Anterior,D014987: Xerostomia,D015270: Mycobacterium avium-intracellulare Infection,D015658: HIV Infections,D016918: Arthritis, Reactive,D016919: Meningitis, Cryptococcal,D018370: Leukocyte-Adhesion Deficiency Syndrome,D019698: Hepatitis C, Chronic,D054990: Idiopathic Pulmonary Fibrosis,D058387: Candidemia,D064129: Prostatic Neoplasms, Castration-Resistant	IFNGR2	M1
P28065	NA	NA	NA	NA	BORTEZOMIB	26S proteosome inhibitor	INHIBITOR	2003	CHEMBL2364701	106197	P28065	Proteasome subunit beta type-9	Homo sapiens	D000075122: Smoldering Multiple Myeloma,D000077192: Adenocarcinoma of Lung,D000686: Amyloidosis,D000754: Anemia, Refractory, with Excess of Blasts,D001254: Astrocytoma,D001749: Urinary Bladder Neoplasms,D001943: Breast Neoplasms,D001989: Bronchiolitis Obliterans,D002051: Burkitt Lymphoma,D002282: Adenocarcinoma, Bronchiolo-Alveolar,D002289: Carcinoma, Non-Small-Cell Lung,D002292: Carcinoma, Renal Cell,D002294: Carcinoma, Squamous Cell,D002583: Uterine Cervical Neoplasms,D003528: Carcinoma, Adenoid Cystic,D004672: Encephalitis, Japanese,D004938: Esophageal Neoplasms,D005185: Fallopian Tube Neoplasms,D005871: Castleman Disease,D005909: Glioblastoma,D005910: Glioma,D006086: Graft vs Host Disease,D006258: Head and Neck Neoplasms,D006528: Carcinoma, Hepatocellular,D006689: Hodgkin Disease,D007119: Immunoblastic Lymphadenopathy,D007154: Immune System Diseases,D007680: Kidney Neoplasms,D007938: Leukemia,D007952: Leukemia, Plasma Cell,D008175: Lung Neoplasms,D008223: Lymphoma,D008224: Lymphoma, Follicular,D008228: Lymphoma, Non-Hodgkin,D008232: Lymphoproliferative Disorders,D008258: Waldenstrom Macroglobulinemia,D008545: Melanoma,D008654: Mesothelioma,D009101: Multiple Myeloma,D009136: Muscular Dystrophies,D009182: Mycosis Fungoides,D009190: Myelodysplastic Syndromes,D009196: Myeloproliferative Disorders,D009303: Nasopharyngeal Neoplasms,D009369: Neoplasms,D009447: Neuroblastoma,D009471: Neuromyelitis Optica,D009837: Oligodendroglioma,D010051: Ovarian Neoplasms,D010190: Pancreatic Neoplasms,D010534: Peritoneal Neoplasms,D010954: Plasmacytoma,D011471: Prostatic Neoplasms,D012010: Red-Cell Aplasia, Pure,D012509: Sarcoma,D012751: Sezary Syndrome,D013274: Stomach Neoplasms,D013964: Thyroid Neoplasms,D014511: Uremia,D014516: Ureteral Neoplasms,D014523: Urethral Neoplasms,D015179: Colorectal Neoplasms,D015451: Leukemia, Lymphocytic, Chronic, B-Cell,D015456: Leukemia, Biphenotypic, Acute,D015459: Leukemia-Lymphoma, Adult T-Cell,D015464: Leukemia, Myelogenous, Chronic, BCR-ABL Positive,D015470: Leukemia, Myeloid, Acute,D015473: Leukemia, Promyelocytic, Acute,D016403: Lymphoma, Large B-Cell, Diffuse,D016411: Lymphoma, T-Cell, Peripheral,D016483: Lymphoma, AIDS-Related,D016543: Central Nervous System Neoplasms,D016553: Purpura, Thrombocytopenic, Idiopathic,D017728: Lymphoma, Large-Cell, Anaplastic,D018263: Adenocarcinoma, Follicular,D018276: Carcinoma, Medullary,D018281: Cholangiocarcinoma,D018316: Gliosarcoma,D018442: Lymphoma, B-Cell, Marginal Zone,D019337: Hematologic Neoplasms,D020522: Lymphoma, Mantle-Cell,D021441: Carcinoma, Pancreatic Ductal,D023981: Sarcoma, Myeloid,D028226: Amyloidosis, Familial,D051436: Renal Insufficiency, Chronic,D054198: Precursor Cell Lymphoblastic Leukemia-Lymphoma,D064129: Prostatic Neoplasms, Castration-Resistant	PSMB9	M1
P28065	NA	NA	NA	NA	CARFILZOMIB	26S proteosome inhibitor	INHIBITOR	2009	CHEMBL2364701	106197	P28065	Proteasome subunit beta type-9	Homo sapiens	D000686: Amyloidosis,D006086: Graft vs Host Disease,D006689: Hodgkin Disease,D007680: Kidney Neoplasms,D007938: Leukemia,D007952: Leukemia, Plasma Cell,D008223: Lymphoma,D008224: Lymphoma, Follicular,D008228: Lymphoma, Non-Hodgkin,D008258: Waldenstrom Macroglobulinemia,D009101: Multiple Myeloma,D009182: Mycosis Fungoides,D009369: Neoplasms,D010954: Plasmacytoma,D012751: Sezary Syndrome,D015451: Leukemia, Lymphocytic, Chronic, B-Cell,D015463: Leukemia, Prolymphocytic,D016403: Lymphoma, Large B-Cell, Diffuse,D016411: Lymphoma, T-Cell, Peripheral,D018278: Carcinoma, Neuroendocrine,D020522: Lymphoma, Mantle-Cell,D054198: Precursor Cell Lymphoblastic Leukemia-Lymphoma,D055752: Small Cell Lung Carcinoma,D064129: Prostatic Neoplasms, Castration-Resistant	PSMB9	M1
P28065	NA	NA	NA	NA	IXAZOMIB CITRATE	26S proteosome inhibitor	INHIBITOR	2015	CHEMBL2364701	106197	P28065	Proteasome subunit beta type-9	Homo sapiens	D001943: Breast Neoplasms,D005909: Glioblastoma,D006086: Graft vs Host Disease,D007952: Leukemia, Plasma Cell,D008223: Lymphoma,D008258: Waldenstrom Macroglobulinemia,D009101: Multiple Myeloma,D009369: Neoplasms,D010954: Plasmacytoma,D012514: Sarcoma, Kaposi,D015470: Leukemia, Myeloid, Acute,D020522: Lymphoma, Mantle-Cell,D054198: Precursor Cell Lymphoblastic Leukemia-Lymphoma	PSMB9	M1
P28702	NA	NA	NA	NA	ETRETINATE	Retinoid receptor agonist	AGONIST	1986	CHEMBL2363071	105766	P28702	Retinoic acid receptor RXR-beta	Homo sapiens	D011565: Psoriasis	RXRB	M1
P28702	NA	NA	NA	NA	ALITRETINOIN	Retinoid receptor agonist	AGONIST	1999	CHEMBL2363071	105766	P28702	Retinoic acid receptor RXR-beta	Homo sapiens	D001943: Breast Neoplasms,D004485: Eczema,D006229: Hand Dermatoses,D008010: Lichen Planus,D008178: Lupus Erythematosus, Cutaneous,D009369: Neoplasms,D011565: Psoriasis	RXRB	M1
P28702	NA	NA	NA	NA	BEXAROTENE	Retinoid X receptor agonist	AGONIST	1999	CHEMBL2363070	105765	P28702	Retinoic acid receptor RXR-beta	Homo sapiens	D000506: Alopecia Areata,D000544: Alzheimer Disease,D001943: Breast Neoplasms,D002285: Carcinoma, Intraductal, Noninfiltrating,D002289: Carcinoma, Non-Small-Cell Lung,D007938: Leukemia,D008175: Lung Neoplasms,D008223: Lymphoma,D009101: Multiple Myeloma,D009182: Mycosis Fungoides,D009190: Myelodysplastic Syndromes,D009369: Neoplasms,D010267: Parapsoriasis,D011565: Psoriasis,D011618: Psychotic Disorders,D012559: Schizophrenia,D012751: Sezary Syndrome,D013964: Thyroid Neoplasms,D015470: Leukemia, Myeloid, Acute,D016410: Lymphoma, T-Cell, Cutaneous,D017728: Lymphoma, Large-Cell, Anaplastic,D047748: Pituitary ACTH Hypersecretion	RXRB	M1
P28702	NA	NA	NA	NA	ACITRETIN	Retinoid receptor agonist	AGONIST	1996	CHEMBL2363071	105766	P28702	Retinoic acid receptor RXR-beta	Homo sapiens	D000544: Alzheimer Disease,D003872: Dermatitis,D008545: Melanoma,D011565: Psoriasis,D015658: HIV Infections	RXRB	M1
Q15116	NA	NA	NA	NA	NIVOLUMAB	Programmed cell death protein 1 inhibitor	INHIBITOR	2015	CHEMBL3307223	108437	Q15116	Programmed cell death protein 1	Homo sapiens	D000077192: Adenocarcinoma of Lung,D000077195: Squamous Cell Carcinoma of Head and Neck,D000080443: Diffuse Intrinsic Pontine Glioma,D000230: Adenocarcinoma,D000306: Adrenal Cortex Neoplasms,D001478: Basal Cell Nevus Syndrome,D001661: Biliary Tract Neoplasms,D001749: Urinary Bladder Neoplasms,D001932: Brain Neoplasms,D001943: Breast Neoplasms,D002276: Carcinoid Tumor,D002277: Carcinoma,D002280: Carcinoma, Basal Cell,D002289: Carcinoma, Non-Small-Cell Lung,D002292: Carcinoma, Renal Cell,D002294: Carcinoma, Squamous Cell,D002583: Uterine Cervical Neoplasms,D002817: Chordoma,D003110: Colonic Neoplasms,D003699: Hepatitis D,D004938: Esophageal Neoplasms,D005185: Fallopian Tube Neoplasms,D005909: Glioblastoma,D005910: Glioma,D006258: Head and Neck Neoplasms,D006394: Hemangiosarcoma,D006528: Carcinoma, Hepatocellular,D006689: Hodgkin Disease,D007680: Kidney Neoplasms,D007890: Leiomyosarcoma,D007938: Leukemia,D007972: Leukoplakia, Oral,D008080: Liposarcoma,D008113: Liver Neoplasms,D008175: Lung Neoplasms,D008223: Lymphoma,D008224: Lymphoma, Follicular,D008228: Lymphoma, Non-Hodgkin,D008545: Melanoma,D008579: Meningioma,D008654: Mesothelioma,D009101: Multiple Myeloma,D009182: Mycosis Fungoides,D009190: Myelodysplastic Syndromes,D009303: Nasopharyngeal Neoplasms,D009362: Neoplasm Metastasis,D009369: Neoplasms,D009373: Neoplasms, Germ Cell and Embryonal,D009447: Neuroblastoma,D009837: Oligodendroglioma,D009959: Oropharyngeal Neoplasms,D010051: Ovarian Neoplasms,D010190: Pancreatic Neoplasms,D010534: Peritoneal Neoplasms,D010911: Pituitary Neoplasms,D011024: Pneumonia, Viral,D011471: Prostatic Neoplasms,D012004: Rectal Neoplasms,D012186: Retroperitoneal Neoplasms,D012192: Retroviridae Infections,D012468: Salivary Gland Neoplasms,D012509: Sarcoma,D012514: Sarcoma, Kaposi,D012516: Osteosarcoma,D012751: Sezary Syndrome,D013274: Stomach Neoplasms,D013964: Thyroid Neoplasms,D014565: Urogenital Neoplasms,D015179: Colorectal Neoplasms,D015266: Carcinoma, Merkel Cell,D015451: Leukemia, Lymphocytic, Chronic, B-Cell,D015464: Leukemia, Myelogenous, Chronic, BCR-ABL Positive,D015470: Leukemia, Myeloid, Acute,D016399: Lymphoma, T-Cell,D016403: Lymphoma, Large B-Cell, Diffuse,D016411: Lymphoma, T-Cell, Peripheral,D016889: Endometrial Neoplasms,D018278: Carcinoma, Neuroendocrine,D018281: Cholangiocarcinoma,D018287: Carcinoma, Large Cell,D018288: Carcinoma, Small Cell,D018316: Gliosarcoma,D018317: Nerve Sheath Neoplasms,D018805: Sepsis,D019337: Hematologic Neoplasms,D019694: Hepatitis B, Chronic,D020522: Lymphoma, Mantle-Cell,D021441: Carcinoma, Pancreatic Ductal,D029424: Pulmonary Disease, Chronic Obstructive,D045169: Severe Acute Respiratory Syndrome,D046152: Gastrointestinal Stromal Tumors,D051677: Histiocytoma, Malignant Fibrous,D054198: Precursor Cell Lymphoblastic Leukemia-Lymphoma,D055752: Small Cell Lung Carcinoma,D058922: Inflammatory Breast Neoplasms,D064129: Prostatic Neoplasms, Castration-Resistant,D064726: Triple Negative Breast Neoplasms	PDCD1	M1
Q15116	NA	NA	NA	NA	PEMBROLIZUMAB	Programmed cell death protein 1 inhibitor	INHIBITOR	2014	CHEMBL3307223	108437	Q15116	Programmed cell death protein 1	Homo sapiens	D000071960: Breast Carcinoma In Situ,D000075122: Smoldering Multiple Myeloma,D000077192: Adenocarcinoma of Lung,D000077195: Squamous Cell Carcinoma of Head and Neck,D000306: Adrenal Cortex Neoplasms,D001005: Anus Neoplasms,D001661: Biliary Tract Neoplasms,D001749: Urinary Bladder Neoplasms,D001932: Brain Neoplasms,D001943: Breast Neoplasms,D002276: Carcinoid Tumor,D002277: Carcinoma,D002278: Carcinoma in Situ,D002280: Carcinoma, Basal Cell,D002285: Carcinoma, Intraductal, Noninfiltrating,D002289: Carcinoma, Non-Small-Cell Lung,D002292: Carcinoma, Renal Cell,D002294: Carcinoma, Squamous Cell,D002583: Uterine Cervical Neoplasms,D003110: Colonic Neoplasms,D003528: Carcinoma, Adenoid Cystic,D004938: Esophageal Neoplasms,D005185: Fallopian Tube Neoplasms,D005909: Glioblastoma,D005910: Glioma,D006103: Granuloma, Lethal Midline,D006258: Head and Neck Neoplasms,D006394: Hemangiosarcoma,D006528: Carcinoma, Hepatocellular,D006689: Hodgkin Disease,D007680: Kidney Neoplasms,D007938: Leukemia,D007945: Leukemia, Lymphoid,D007971: Leukoplakia,D007972: Leukoplakia, Oral,D008113: Liver Neoplasms,D008175: Lung Neoplasms,D008223: Lymphoma,D008224: Lymphoma, Follicular,D008228: Lymphoma, Non-Hodgkin,D008258: Waldenstrom Macroglobulinemia,D008545: Melanoma,D008577: Meningeal Neoplasms,D008579: Meningioma,D008654: Mesothelioma,D009062: Mouth Neoplasms,D009101: Multiple Myeloma,D009182: Mycosis Fungoides,D009190: Myelodysplastic Syndromes,D009303: Nasopharyngeal Neoplasms,D009362: Neoplasm Metastasis,D009369: Neoplasms,D009442: Neurilemmoma,D009447: Neuroblastoma,D009959: Oropharyngeal Neoplasms,D010051: Ovarian Neoplasms,D010190: Pancreatic Neoplasms,D010212: Papilloma,D010307: Parotid Neoplasms,D010412: Penile Neoplasms,D010534: Peritoneal Neoplasms,D011024: Pneumonia, Viral,D011471: Prostatic Neoplasms,D012004: Rectal Neoplasms,D012468: Salivary Gland Neoplasms,D012509: Sarcoma,D012514: Sarcoma, Kaposi,D012516: Osteosarcoma,D012595: Scleroderma, Systemic,D012751: Sezary Syndrome,D012878: Skin Neoplasms,D013274: Stomach Neoplasms,D013945: Thymoma,D013964: Thyroid Neoplasms,D014565: Urogenital Neoplasms,D014594: Uterine Neoplasms,D014846: Vulvar Neoplasms,D015179: Colorectal Neoplasms,D015266: Carcinoma, Merkel Cell,D015451: Leukemia, Lymphocytic, Chronic, B-Cell,D015456: Leukemia, Biphenotypic, Acute,D015470: Leukemia, Myeloid, Acute,D015658: HIV Infections,D016403: Lymphoma, Large B-Cell, Diffuse,D016410: Lymphoma, T-Cell, Cutaneous,D016411: Lymphoma, T-Cell, Peripheral,D016889: Endometrial Neoplasms,D018234: Sarcoma, Alveolar Soft Part,D018276: Carcinoma, Medullary,D018278: Carcinoma, Neuroendocrine,D018281: Cholangiocarcinoma,D018316: Gliosarcoma,D018358: Neuroendocrine Tumors,D018567: Breast Neoplasms, Male,D019337: Hematologic Neoplasms,D020522: Lymphoma, Mantle-Cell,D021441: Carcinoma, Pancreatic Ductal,D031901: Gestational Trophoblastic Disease,D045169: Severe Acute Respiratory Syndrome,D046152: Gastrointestinal Stromal Tumors,D054198: Precursor Cell Lymphoblastic Leukemia-Lymphoma,D055752: Small Cell Lung Carcinoma,D055756: Meningeal Carcinomatosis,D058922: Inflammatory Breast Neoplasms,D061325: Hereditary Breast and Ovarian Cancer Syndrome,D064129: Prostatic Neoplasms, Castration-Resistant,D064726: Triple Negative Breast Neoplasms,D065646: Thyroid Carcinoma, Anaplastic	PDCD1	M1
